seq,stage,status,mac,rssi,channel,amplitude_mean,amplitude_std,phase_std,calibration_mode,calibration_progress,remaining_packets,remaining_seconds,window_progress,presence_score,motion_score,amp_mean_delta,amp_std_delta,phase_std_delta,rssi_delta,window_amp_mean,window_amp_std,window_phase_std,window_rssi,baseline_amplitude_mean,baseline_amplitude_std,baseline_phase_std,baseline_rssi
0,ready,已加载基线,,,,,,,,,,,,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
1,buffering,监测缓冲中,,-56,,11.0062,7.0956,1.4667,,,,,1/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
2,buffering,监测缓冲中,,-55,,10.1797,6.7394,1.4257,,,,,2/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
3,buffering,监测缓冲中,,-55,,9.8677,6.5565,1.5682,,,,,3/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
4,buffering,监测缓冲中,,-54,,10.8244,7.0946,1.8953,,,,,4/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
5,buffering,监测缓冲中,,-54,,10.7701,7.067,1.6651,,,,,5/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
6,buffering,监测缓冲中,,-53,,9.8392,6.47,1.5421,,,,,6/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
7,buffering,监测缓冲中,,-53,,9.9165,6.5185,1.5334,,,,,7/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
8,buffering,监测缓冲中,,-52,,10.7033,6.8718,1.8333,,,,,8/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
9,buffering,监测缓冲中,,-52,,9.869,6.3867,1.5735,,,,,9/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
10,buffering,监测缓冲中,,-52,,9.8749,6.3383,1.6327,,,,,10/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
11,buffering,监测缓冲中,,-51,,9.6111,6.3321,1.5852,,,,,11/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
12,buffering,监测缓冲中,,-51,,10.6255,6.9353,1.5122,,,,,12/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
13,buffering,监测缓冲中,,-51,,10.5095,6.7975,1.5853,,,,,13/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
14,buffering,监测缓冲中,,-51,,10.7112,6.8595,1.6218,,,,,14/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
15,buffering,监测缓冲中,,-51,,10.465,6.7407,1.5877,,,,,15/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
16,buffering,监测缓冲中,,-51,,10.2399,6.6618,1.4994,,,,,16/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
17,buffering,监测缓冲中,,-51,,10.6985,6.9312,1.597,,,,,17/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
18,buffering,监测缓冲中,,-37,,9.9412,6.5563,1.5288,,,,,18/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
19,buffering,监测缓冲中,,-52,,10.9034,6.7203,1.6811,,,,,19/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
20,buffering,监测缓冲中,,-52,,10.1695,6.269,1.6659,,,,,20/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
21,buffering,监测缓冲中,,-52,,10.3139,6.4103,1.6695,,,,,21/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
22,buffering,监测缓冲中,,-53,,10.0843,6.404,1.4326,,,,,22/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
23,buffering,监测缓冲中,,-55,,10.5056,6.5521,1.7351,,,,,23/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
24,buffering,监测缓冲中,,-55,,9.904,6.2604,1.573,,,,,24/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
25,buffering,监测缓冲中,,-53,,10.5693,6.6091,1.6938,,,,,25/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
26,buffering,监测缓冲中,,-53,,10.5896,6.5706,1.656,,,,,26/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
27,buffering,监测缓冲中,,-53,,10.759,6.7321,1.4891,,,,,27/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
28,buffering,监测缓冲中,,-53,,10.5848,6.6727,1.7007,,,,,28/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
29,buffering,监测缓冲中,,-53,,10.0072,6.2959,1.6722,,,,,29/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
30,buffering,监测缓冲中,,-53,,10.2318,6.4164,1.79,,,,,30/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
31,buffering,监测缓冲中,,-54,,10.7492,6.6392,1.7085,,,,,31/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
32,buffering,监测缓冲中,,-54,,10.4487,6.4635,1.6391,,,,,32/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
33,buffering,监测缓冲中,,-54,,10.498,6.5678,1.4601,,,,,33/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
34,buffering,监测缓冲中,,-54,,10.8181,6.8179,1.4577,,,,,34/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
35,buffering,监测缓冲中,,-54,,10.2294,6.3786,1.6635,,,,,35/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
36,buffering,监测缓冲中,,-53,,10.9122,6.8136,1.4603,,,,,36/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
37,buffering,监测缓冲中,,-53,,9.9506,6.1008,1.7329,,,,,37/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
38,buffering,监测缓冲中,,-53,,10.3144,6.4931,1.64,,,,,38/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
39,buffering,监测缓冲中,,-53,,10.2691,6.3627,1.6818,,,,,39/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
40,buffering,监测缓冲中,,-53,,10.7796,6.7803,1.4661,,,,,40/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
41,buffering,监测缓冲中,,-54,,10.6961,6.7546,1.4762,,,,,41/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
42,buffering,监测缓冲中,,-54,,10.185,6.332,1.6171,,,,,42/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
43,buffering,监测缓冲中,,-54,,10.8523,6.6704,1.6595,,,,,43/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
44,buffering,监测缓冲中,,-53,,10.6357,6.629,1.4653,,,,,44/100,,,,,,,,,,,10.6869,6.5338,1.581,-52.2065
